1672
qstr_Not_enough_energy! Not_enough_energy!
qstr_zhu_xian_101 zhu_xian_101
qstr_zhu_xian_102 zhu_xian_102
qstr_zhu_xian_19 zhu_xian_19
qstr_zhu_xian_18 zhu_xian_18
qstr_zhu_xian_17 zhu_xian_17
qstr_zhu_xian_16 zhu_xian_16
qstr_zhu_xian_15 zhu_xian_15
qstr_zhu_xian_14 zhu_xian_14
qstr_zhu_xian_13 zhu_xian_13
qstr_zhu_xian_12 zhu_xian_12
qstr_zhu_xian_11 zhu_xian_11
qstr_zhu_xian_10 zhu_xian_10
qstr_zhu_xian_9 zhu_xian_9
qstr_zhu_xian_8 zhu_xian_8
qstr_zhu_xian_7 zhu_xian_7
qstr_zhu_xian_6 zhu_xian_6
qstr_zhu_xian_5 zhu_xian_5
qstr_zhu_xian_4 zhu_xian_4
qstr_zhu_xian_3 zhu_xian_3
qstr_zhu_xian_2 zhu_xian_2
qstr_zhu_xian_1 zhu_xian_1
qstr_imod_balanced imod_balanced
qstr_imod_tempered imod_tempered
qstr_imod_heavy imod_heavy
qstr_imod_large_bag imod_large_bag
qstr_imod_thick imod_thick
qstr_imod_reinforced imod_reinforced
qstr_imod_superb imod_superb
qstr_imod_lordly imod_lordly
qstr_imod_sharp imod_sharp
qstr_imod_deadly imod_deadly
qstr_imod_well_made imod_well_made
qstr_imod_exquisite imod_exquisite
qstr_imod_powerful imod_powerful
qstr_imod_champion imod_champion
qstr_imod_strong imod_strong
qstr_imod_masterwork imod_masterwork
qstr_imod_timid imod_timid
qstr_imod_meek imod_meek
qstr_imod_cheap imod_cheap
qstr_imod_fine imod_fine
qstr_imod_sturdy imod_sturdy
qstr_imod_hardened imod_hardened
qstr_you_get_the_{s3}{s1} you_get_the_{s3}{s1}
qstr_Number_of_companions Number_of_companions_exceeds_leadership_limit,_{reg58}_{s58}_{reg2?have:has}_leave_from_{s59}'s_party!
qstr_Number_of_prisoners_ Number_of_prisoners_exceeds_prisoner_management_limit,_{reg58}_{s58}_{reg2?have:has}_escape_from_{s59}'s_party!
qstr_Follow Follow
qstr_Besieging Besieging
qstr_Holding_ Holding_
qstr_Patrolling_around Patrolling_around
qstr_Free_activities Free_activities
qstr_Attack Attack
qstr_Retreating_to Retreating_to
qstr_Standby Standby
qstr_{s1}_s_party_has_not {s1}'s_party_has_nothing_to_eat!
qstr_Because_of_hostile_r Because_of_hostile_relations_with_you,_{reg58}_{s58}_{reg2?have:has}_leave_from_{s1}'s_party!
qstr_On On
qstr_Please_set_a_group_t Please_set_a_group_tactical_first.
qstr_Stop_group_tactic_of Stop_group_tactic_of_{s1}.
qstr_{s1}:_{s2}_outflank_ {s1}:_{s2},_outflank_right!
qstr_{s1}:_{s2}_follow_me {s1}:_{s2},_follow_me_to_outflank_right!
qstr_{s1}:_{s2}_outflank_l {s1}:_{s2},_outflank_left!
qstr_{s1}:_{s2}_follow_me_ {s1}:_{s2},_follow_me_to_outflank_left!
qstr_{s1}:_{s2}_holding_h {s1}:_{s2},_holding_highlands!
qstr_{s1}:_{s2}_follow_me_h {s1}:_{s2},_follow_me_holding_highlands!
qstr_{s1}:_{s2}_rush_repe {s1}:_{s2},_rush_repeatedly!
qstr_{s1}:_{s2}_follow_me_r {s1}:_{s2},_follow_me_rush_repeatedly!
qstr_{s1}:_{s2}_march_in_ {s1}:_{s2},_march_in_line_with_me!
qstr_{s1}:_{s2}_fire_at_w {s1}:_{s2},_fire_at_will!
qstr_{reg62}_enemy_soldie {reg62}_enemy_soldiers_is_surrender!
qstr_+{reg1} +{reg1}
qstr__{reg1} -{reg1}
qstr_Nothing_to_sell. Nothing_to_sell.
qstr_There_are_{reg1}_{re There_are_{reg1}_{reg3?items:item}_sold_and_you_gained_{reg2}_{reg4?denars:denar}.
qstr_You_found_one_of_the You_found_one_of_the_portraits!
qstr_You_find_a_strange_p You_find_a_strange_portrait._Talk_to_Shoey_about_this.
qstr_{s2}_{s1} {s2},_{s1}
qstr_You_have_find_{reg1} You_have_find_{reg1}_{reg2?portraits:portrait},_in_{s2}.
qstr_Draw_sword_art!! Draw_sword_art!!
qstr_Start_up_energy_stri Start_up_energy_strike_mode!
qstr_Delivered_{reg1}_ene Delivered_{reg1}_energy_damage!
qstr_Received_{reg1}_ener Received_{reg1}_energy_damage!
qstr_zhu_xian_35 zhu_xian_35
qstr_zhu_xian_34 zhu_xian_34
qstr_You_got_keys_of_dung You_got_keys_of_dungeon.
qstr_Can_t_use_this_skill Can't_use_this_skill_on_horseback!
qstr_The_Doomsday_storm_s The_Doomsday_storm_stopped!_Too_slow!
qstr_{s1}:_Bleach_Kiss!! {s1}:_Bleach_Kiss!!
qstr_{s2}__{s1}_into_chao {s2}'_{s1}_into_chaos!
qstr_{s2}__{s1}_recovery_ {s2}'_{s1}_recovery_from_the_chaos!
qstr_{s1}_has_recovered_b {s1}_has_recovered_by_the_Shield-for-fate!
qstr_{s1}_+_1 {s1}_+_1
qstr_{s1}_s_one_handed_we {s1}'s_one_handed_weapon_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_two_handed_we {s1}'s_two_handed_weapon_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_polearm_profi {s1}'s_polearm_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_archery_profi {s1}'s_archery_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_crossbow_prof {s1}'s_crossbow_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_throwing_prof {s1}'s_throwing_proficiency_have_reach_to_{reg1}.
qstr_{s1}_s_firearm_profi {s1}'s_firearm_proficiency_have_reach_to_{reg1}.
qstr_{s2}:_Owe_you_{s1}! {s2}:_Owe_you_{s1}!
qstr_{s2}:_Thank_{s1}! {s2}:_Thank_{s1}!
qstr_qijimoshi_jieshuo qijimoshi_jieshuo
qstr_explain_for_custom_b explain_for_custom_battle_camera
qstr_Your_horse_heard_the Your_horse_heard_the_whistle.
qstr_No_horses_available. No_horses_available.
qstr_Your_horse_is_dead. Your_horse_is_dead.
qstr_Your_horse_lame. Your_horse_lame.
qstr_You_have_beaten_{reg You_have_beaten_{reg1}_enemies!
qstr_Your_bravery_inspire Your_bravery_inspired_the_soldiers!
qstr_Enemy_leader_is_die! Enemy_leader_is_die!
qstr_Your_enemy_not_be_af Your_enemy_not_be_affected.
qstr_Your_enemy_back_to_n Your_enemy_back_to_normal.
qstr_Kill_them_all! Kill_them_all!
qstr_Enemy_captain:_{s49} Enemy_captain:_{s49}
qstr_wind_gem_effect2_txt wind_gem_effect2_txt
qstr_explain_for_call_hor explain_for_call_horse
qstr_explain_for_trap explain_for_trap
qstr_Start_trap Start_trap
qstr_Launched_trap! Launched_trap!
qstr_{s1}_wounded_by_trap {s1}_wounded_by_trap!
qstr_{s1}_killed_by_trap! {s1}_killed_by_trap!
qstr_kill_all! kill_all!
qstr_You_must_stay_behind You_must_stay_behind_the_line_on_the_ground!_Point_is_not_counted.
qstr_ni_zuo_bi_la ni_zuo_bi_la
qstr_Tutorial Tutorial
qstr_Select_the_Tactics:^ Select_the_Tactics:^^^Select_'Yes'_for_a_frontal_attack_that_you_will_fight_hand-to-hand_while_your_ship_connecting_with_the_enemy's._^^Select_'No'_for_an_Outflanking_attack_that_you_will_move_around_and_fight_circuitously._The_higher_pathfinding_skill_higher_success_rate._The_current_success_rate:_{reg6}%
qstr_Fight_Hand_to_hand! Fight_Hand-to-hand!
qstr_Outflanking_Tactics_ Outflanking_Tactics_Success!
qstr_Outflanking_Tactics_F Outflanking_Tactics_Failure!
qstr_{s1}_withdrawal_from {s1}_withdrawal_from_battle_for_drowning!
qstr_Press__Tab__to_join_ Press_'Tab'_to_join_the_manhunters_and_hunt_down_river_pirates_out_of_Zendar.
qstr_chongcipao_jieshuo_2 chongcipao_jieshuo_2
qstr_chongcipao_jieshuo_1 chongcipao_jieshuo_1
qstr_Are_you_ready_for_ba Are_you_ready_for_battle?
qstr_horse_race_message horse_race_message
qstr_You_succeed! You_succeed!
qstr_You_failed! You_failed!
qstr_horse_1_msg_1 horse_1_msg_1
qstr_failure failure
qstr_horse_2_msg_1 horse_2_msg_1
qstr_Looking_for_export! Looking_for_export!
qstr_Exposed Exposed
qstr_Rescue_success! Rescue_success!
qstr_Rescue_failure! Rescue_failure!
qstr_yueyushuoming yueyushuoming
qstr___5__ (_5_)
qstr___4__ (_4_)
qstr___3__ (_3_)
qstr___2__ (_2_)
qstr___1__ (_1_)
qstr_Hold__F__to_open_the Hold_'F'_to_open_the_door^{s2}
qstr___9__ (_9_)
qstr___8__ (_8_)
qstr___7__ (_7_)
qstr___6__ (_6_)
qstr_Hold__F__to_spin_the Hold_'F'_to_spin_the_winch^{s2}
qstr_The_guards_find_you! The_guards_find_you!_Fight_for_your_life!
qstr_Escaped_together_wit Escaped_together_with_{s1}_outside_the_towns!
qstr_da_kai_cheng_men da_kai_cheng_men
qstr_Alert Alert
qstr_Look_out Look_out
qstr_di_ren_zeng_jia di_ren_zeng_jia
qstr_ni_zuo_bi_la_2 ni_zuo_bi_la_2
qstr_{s1}_was_killed! {s1}_was_killed!
qstr_zhu_xian_105 zhu_xian_105
qstr_{reg1} {reg1}
qstr_meng_xing2 meng_xing2
qstr_Quest_taken Quest_taken
qstr_xinshoutishi xinshoutishi
qstr_zhu_xian_0 zhu_xian_0
qstr_Do_you_wish_to_leave Do_you_wish_to_leave_race?
qstr_{s1}^^Circuit_{reg1} {s1}^^Circuit_{reg1}:__{s2}_
qstr_Entries_list:^^^{s1} Entries_list:^^^{s1}^^^<<___Press_'B'_to_Start_Race!___>>
qstr_Final_lap__total_2_l Final_lap_(total_2_lap)
qstr_1st_lap__total_2_lap 1st_lap_(total_2_lap)
qstr_{s1}_won_the_game! {s1}_won_the_game!
qstr_{s10}^^{reg10}:__{s2 {s10}^^{reg10}:__{s2}_
qstr_Ranking:^^^{s10}^^^< Ranking:^^^{s10}^^^<<___Press_'Tab'_to_Return!___>>
qstr_{s10}_{s9} {s10}_,{s9}
qstr_You_should_destroy_{ You_should_destroy_{reg10}_troops.
qstr_{s4}_{s5} {s4}_{s5}
qstr_Fenrir_left. Fenrir_left.
qstr_Sneak_Damage_x_{reg1 Sneak_Damage_x_{reg1}!!
qstr_water_gem_effect water_gem_effect
qstr_water_gem_effect3_tx water_gem_effect3_txt
qstr_HP_hurting!_You_must HP_hurting!_You_must_return_to_the_surface!
qstr_Take_a_rest? Take_a_rest?
qstr_You_have_recovered. You_have_recovered.
qstr_There_are_enemy_near There_are_enemy_nearby,_can_not_rest.
qstr_can_not_retreat_dung can_not_retreat_dungeon
qstr_{!}{s4}:_M{reg3}_2M{ {!}{s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_You_came_into_the_wo You_came_into_the_world_a_{reg3?daughter:son}_of_declining_nobility,_owning_only_the_house_in_which_they_lived._However,_despite_your_family's_hardships,_they_afforded_you_a_good_education_and_trained_you_from_childhood_for_the_rigors_of_aristocracy_and_life_at_court.
qstr_You_were_born_the_{r You_were_born_the_{reg3?daughter:son}_of_travelling_merchants,_always_moving_from_place_to_place_in_search_of_a_profit._Although_your_parents_were_wealthier_than_most_and_educated_you_as_well_as_they_could,_you_found_little_opportunity_to_make_friends_on_the_road,_living_mostly_for_the_moments_when_you_could_sell_something_to_somebody.
qstr_As_a_child_your_fami As_a_child,_your_family_scrabbled_out_a_meagre_living_from_your_father's_wages_as_a_guardsman_to_the_local_lord._It_was_not_an_easy_existence,_and_you_were_too_poor_to_get_much_of_an_education._You_learned_mainly_how_to_defend_yourself_on_the_streets,_with_or_without_a_weapon_in_hand.
qstr_{reg3?daughter:son} {reg3?daughter:son}
qstr_You_were_the_{reg3?d You_were_the_{reg3?daughter:son}_of_a_family_who_lived_off_the_woods,_doing_whatever_they_needed_to_make_ends_meet._Hunting,_woodcutting,_making_arrows,_even_a_spot_of_poaching_whenever_things_got_tight._Winter_was_never_a_good_time_for_your_family_as_the_cold_took_animals_and_people_alike,_but_you_always_lived_to_see_another_dawn,_though_your_brothers_and_sisters_might_not_be_so_fortunate.
qstr_You_were_a_child_of_ You_were_a_child_of_the_steppe,_born_to_a_tribe_of_wandering_nomads_who_lived_in_great_camps_throughout_the_arid_grasslands._Like_the_other_tribesmen,_your_family_revered_horses_above_almost_everything_else,_and_they_taught_you_how_to_ride_almost_before_you_learned_how_to_walk._
qstr_As_the_{reg3?daughte As_the_{reg3?daughter:son}_of_a_thief,_you_had_very_little_'formal'_education._Instead_you_were_out_on_the_street,_begging_until_you_learned_how_to_cut_purses,_cutting_purses_until_you_learned_how_to_pick_locks,_all_the_way_through_your_childhood._Still,_these_long_years_made_you_streetwise_and_sharp_to_the_secrets_of_cities_and_shadowy_backways.
qstr_As_a_{reg3?girl:boy} As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_were_sent_to_live_in_the_court_of_one_of_the_nobles_of_the_land._There,_your_first_lessons_were_in_humility,_as_you_waited_upon_the_lords_and_ladies_of_the_household._But_from_their_chess_games,_their_gossip,_even_the_poetry_of_great_deeds_and_courtly_love,_you_quickly_began_to_learn_about_the_adult_world_of_conflict_and_competition._You_also_learned_from_the_rough_games_of_the_other_children,_who_battered_at_each_other_with_sticks_in_imitation_of_their_elders'_swords.
qstr_As_a_{reg3?girl:boy}_ As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_with_a_local_craftsman_to_learn_a_trade._After_years_of_hard_work_and_study_under_your_new_master,_he_promoted_you_to_journeyman_and_employed_you_as_a_fully_paid_craftsman_for_as_long_as_you_wished_to_stay.
qstr_As_a_{reg3?girl:boy}_g As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_to_a_wealthy_merchant,_picking_up_the_trade_over_years_of_working_shops_and_driving_caravans._You_soon_became_adept_at_the_art_of_buying_low,_selling_high,_and_leaving_the_customer_thinking_they'd_got_the_better_deal.
qstr_As_a_{reg3?girl:boy}_gr As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_took_to_the_streets,_doing_whatever_you_must_to_survive._Begging,_thieving_and_working_for_gangs_to_earn_your_bread,_you_lived_from_day_to_day_in_this_violent_world,_always_one_step_ahead_of_the_law_and_those_who_wished_you_ill.
qstr_As_a_{reg3?girl:boy}_gro As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_rode_the_great_steppes_on_a_horse_of_your_own,_learning_the_ways_of_the_grass_and_the_desert._Although_you_sometimes_went_hungry,_you_became_a_skillful_hunter_and_pathfinder_in_this_trackless_country._Your_body_too_started_to_harden_with_muscle_as_you_grew_into_the_life_of_a_nomad_{reg3?woman:man}.
qstr_{reg3?daughter:man} {reg3?daughter:man}
qstr_Though_the_distincti Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._When_you_were_named_squire_to_a_noble_at_court,_you_practiced_long_hours_with_weapons,_learning_how_to_deal_out_hard_knocks_and_how_to_take_them,_too._You_were_instructed_in_your_obligations_to_your_lord,_and_of_your_duties_to_those_who_might_one_day_be_your_vassals._But_in_addition_to_learning_the_chivalric_ideal,_you_also_learned_about_the_less_uplifting_side_--_old_warriors'_stories_of_ruthless_power_politics,_of_betrayals_and_usurpations,_of_men_who_used_guile_as_well_as_valor_to_achieve_their_aims.
qstr_{reg3?woman:man} {reg3?woman:man}
qstr_Though_the_distinctio Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_joined_the_tightly-knit_circle_of_women_at_court,_ladies_who_all_did_proper_ladylike_things,_the_wives_and_mistresses_of_noble_men_as_well_as_maidens_who_had_yet_to_find_a_husband._However,_even_here_you_found_politics_at_work_as_the_ladies_schemed_for_prominence_and_fought_each_other_bitterly_to_catch_the_eye_of_whatever_unmarried_man_was_in_fashion_at_court._You_soon_learned_ways_of_turning_these_situations_and_goings-on_to_your_advantage._With_it_came_the_realisation_that_you_yourself_could_wield_great_influence_in_the_world,_if_only_you_applied_yourself_with_a_little_bit_of_subtlety.
qstr_Though_the_distinction Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_set_out_on_your_own_with_nothing_except_the_instrument_slung_over_your_back_and_your_own_voice._It_was_a_poor_existence,_with_many_a_hungry_night_when_people_failed_to_appreciate_your_play,_but_you_managed_to_survive_on_your_music_alone._As_the_years_went_by_you_became_adept_at_playing_the_drunken_crowds_in_your_taverns,_and_even_better_at_talking_anyone_out_of_anything_you_wanted.
qstr_Though_the_distinction_ Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._You_found_yourself_as_a_student_in_the_university_of_one_of_the_great_cities,_where_you_studied_theology,_philosophy,_and_medicine._But_not_all_your_lessons_were_learned_in_the_lecture_halls._You_may_or_may_not_have_joined_in_with_your_fellows_as_they_roamed_the_alleys_in_search_of_wine,_women,_and_a_good_fight._However,_you_certainly_were_able_to_observe_how_a_broken_jaw_is_set,_or_how_an_angry_townsman_can_be_persuaded_to_set_down_his_club_and_accept_cash_compensation_for_the_destruction_of_his_shop.
qstr_Though_the_distinction_f Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Heeding_the_call_of_the_open_road,_you_travelled_from_village_to_village_buying_and_selling_what_you_could._It_was_not_a_rich_existence,_but_you_became_a_master_at_haggling_even_the_most_miserly_elders_into_giving_you_a_good_price._Soon,_you_knew,_you_would_be_well-placed_to_start_your_own_trading_empire...
qstr_Though_the_distinction_fe Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_pursued_a_career_as_a_smith,_crafting_items_of_function_and_beauty_out_of_simple_metal._As_time_wore_on_you_became_a_master_of_your_trade,_and_fine_work_started_to_fetch_fine_prices._With_food_in_your_belly_and_logs_on_your_fire,_you_could_take_pride_in_your_work_and_your_growing_reputation.
qstr_Though_the_distinction_fel Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Dissatisfied_with_common_men's_desperate_scrabble_for_coin,_you_took_to_your_local_lord's_own_forests_and_decided_to_help_yourself_to_its_bounty,_laws_be_damned._You_hunted_stags,_boars_and_geese_and_sold_the_precious_meat_under_the_table._You_cut_down_trees_right_under_the_watchmen's_noses_and_turned_them_into_firewood_that_warmed_many_freezing_homes_during_winter._All_for_a_few_silvers,_of_course.
qstr_Only_you_know_exactl Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._Still,_it_was_not_a_difficult_choice_to_leave,_with_the_rage_burning_brightly_in_your_heart._You_want_vengeance._You_want_justice._What_was_done_to_you_cannot_be_undone,_and_these_debts_can_only_be_paid_in_blood...
qstr_Only_you_know_exactly Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._All_you_can_say_is_that_you_couldn't_bear_to_stay,_not_with_the_memories_of_those_you_loved_so_close_and_so_painful._Perhaps_your_new_life_will_let_you_forget,_or_honour_the_name_that_you_can_no_longer_bear_to_speak...
qstr_Only_you_know_exactly_ Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._You're_not_even_sure_when_your_home_became_a_prison,_when_the_familiar_became_mundane,_but_your_dreams_of_wandering_have_taken_over_your_life._Whether_you_yearn_for_some_faraway_place_or_merely_for_the_open_road_and_the_freedom_to_travel,_you_could_no_longer_bear_to_stay_in_the_same_place._You_simply_went_and_never_looked_back...
qstr_Only_you_know_exactly_w Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._However,_you_know_you_cannot_go_back._There's_nothing_to_go_back_to._Whatever_home_you_may_have_had_is_gone_now,_and_you_must_face_the_fact_that_you're_out_in_the_wide_wide_world._Alone_to_sink_or_swim...
qstr_Only_you_know_exactly_wh Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._To_everyone_else,_it's_clear_that_you're_now_motivated_solely_by_personal_gain._You_want_to_be_rich,_powerful,_respected,_feared._You_want_to_be_the_one_whom_others_hurry_to_obey._You_want_people_to_know_your_name,_and_tremble_whenever_it_is_spoken._You_want_everything,_and_you_won't_let_anyone_stop_you_from_having_it...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_{s6}^enemy_faction_s {s6}^enemy_faction_soldiers_in_main_Party_-{reg8}
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{!}{s5}_{s6} {!}{s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr__+ _+
qstr___ _-
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+10^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}{reg6?^Medal_of_Hero:_+20:}{reg7?^NPC_hero's_leadership:_{s6}{reg7}:}{reg4?^Advanced_soldiers_occupy_more_places:_{s5}{reg4}:}^TOTAL:__{reg5}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{!}{s2}^{s4}:_{reg1} {!}{s2}^{s4}:_{reg1}_({s3})
qstr_{s5}^{s6}:_{reg1} {s5}^{s6}:_{reg1}
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}^^^Your_relation_with_the_other_forces_are:^{s5}
qstr_Looters Looters
qstr_River_Pirates River_Pirates
qstr_Sea_Raiders Sea_Raiders
qstr_Mountain_Bandits Mountain_Bandits
qstr_Forest_Bandits Forest_Bandits
qstr_Black_Khergit_Raider Black_Khergit_Raiders
qstr_Dark_Pilgrims Dark_Pilgrims
qstr_Dark_Hunters Dark_Hunters
qstr_Dark_Knights Dark_Knights
qstr_Dark_Avengers Dark_Avengers
qstr_Dark_Destroyer Dark_Destroyer
qstr_Dark_Legion Dark_Legion
qstr_Dark_Inquisitor Dark_Inquisitor
qstr_Knights_of_Freedom Knights_of_Freedom
qstr_{s2}^{s3}:_{reg1} {s2}^{s3}:_{reg1}
qstr_Annihilate_troops_re Annihilate_troops_report:^{s2}
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_water_gem_effect2_tx water_gem_effect2_txt
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{reg62}_enemy_soldier {reg62}_enemy_soldiers_to_surrender
qstr_{!}{s4}_skipped_in_p {!}{s4}_skipped_in_p_total_enemy_casualties_capture_queue_because_is_friendly
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{!}{s17} {!}{s17}
qstr_{!}Victory_comment._ {!}Victory_comment._Player_was_alone
qstr_{!}Ordinary_victory_ {!}Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_{!}Player_participat {!}Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_{!}No_victory_commen {!}No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._You_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr_sky_gem_effect_txt sky_gem_effect_txt
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
