1116
qstr_{reg61}.{reg62} {reg61}.{reg62}
qstr_Continue_watching_or Continue_watching,_or_press_space_key_to_quit.
qstr_{reg3?{s1}_s_profici {reg3?{s1}'s_proficiency_in_{s2}has_improved_by_{reg2}_to_{reg1}.:{s1}'s_{s2}proficiency_have_reach_to_{reg1}.}
qstr_Use_your_baggage_to_ Use_your_baggage_to_access_your_inventory_during_battle._It's_at_the_position_of_reinforcement.
qstr_You_must_stay_behind You_must_stay_behind_the_line_on_the_ground!_Point_is_not_counted.
qstr_You_advance_to_next_ You_advance_to_next_round,_you_can_press_the_Tab_key_and_end_this_round.
qstr_{s1}^^Opponents_Rema {s1}^^Opponents_Remaining:_{reg1}
qstr_Tutorial Tutorial
qstr_Calculating_value_of Calculating_value_of_original_items!
qstr_Enabled Enabled
qstr_Disabled Disabled
qstr_Disable Disable
qstr_Enable Enable
qstr_{s5}^{s3}_of_{s4}_is {s5}^{s3}_of_{s4}_is_wandering_around_{s2}.
qstr_{!}{s4}:_M{reg3}_2M{ {!}{s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr__+ _+
qstr_Current_party_morale Current_party_morale_is_{reg5}.^Current_party_morale_modifiers_are:^^Base_morale:__+50^Party_size:_{s2}{reg1}^Leadership:_{s3}{reg2}^Player's_level:_+{reg9}^Food_variety:_{s4}{reg3}{s5}{s6}^Recent_events:_{s7}{reg4}^TOTAL:__{reg5}^^Morale_value_to_change:_{s8}{reg8}^Prospective_party_morale:_{reg10}^^^
qstr_{s1}Extra_morale_for {s1}Extra_morale_for_{s9}_troops_:_{reg6}^
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_On_loan On_loan,
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_{s9}^^^{s1} {s9}^^^{s1}
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{s5}_{s6} {s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+30^Player's_level:_+{reg7}^Leadership:_{s2}{reg1}^Renown:_{s4}{reg3}^Castles:_{s6}{reg6}^TOTAL:__{reg5}
qstr_{!}{s2}^{s4}:_{reg1} {!}{s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr___{reg1}_{reg2?hours _({reg1}_{reg2?hours:hour}_left)
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Villagers Villagers
qstr_{s3}_in_a_forest {s3}_in_a_forest
qstr_{s3}_in_wildness {s3}_in_wildness
qstr_You_have_encountered You_have_encountered_{s1}._The_battle_is_taking_place_in_{s3}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{!}{s4}_skipped_in_p {!}{s4}_skipped_in_p_total_enemy_casualties_capture_queue_because_is_friendly
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{!}{s17} {!}{s17}
qstr_{!}Victory_comment._ {!}Victory_comment._Player_was_alone
qstr_{!}Ordinary_victory_ {!}Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_{!}Player_participat {!}Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_{!}No_victory_commen {!}No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._You_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls,_the_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_You_are_ready_to_att You_are_ready_to_attack_the_walls_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_castle_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_ar However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr_As_you_approach_you_ As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{king/queen}.
qstr_As_you_approach_you_a As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{lord/lady}.
qstr_{!}Prosperity:_{reg4 {!}Prosperity:_{reg4}
qstr__This_village_and_th _This_village_and_the_surrounding_lands_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr_{!}_{s3}__{reg9}_. {!}_{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_{s19}^ {s19}^
qstr_{s19}^{s0}:{s1} {s19}^{s0}:{s1}
qstr_{s19}^You_are_curren {s19}^You_are_currently_building_{s7}._The_building_will_be_completed_after_{reg8}_day{reg9?s:}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_{!}DEBUG____Prosperi {!}DEBUG_--_Prosperity:_{reg4}
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__This_castle_has_no_ _This_castle_has_no_garrison.
qstr__This_town_has_no_ga _This_town_has_no_garrison.
qstr__{s3}__{reg9}_. _{s3}_({reg9}).
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr__join_the_tournament (join_the_tournament)
qstr___{reg1}_denars_ _({reg1}_denars)
qstr___{reg1}_denars_per_ _({reg1}_denars_per_night)
qstr_Moreover_you_earn_{r Moreover,_you_earn_{reg8}_denars_from_the_clever_bets_you_placed_on_yourself...
qstr_The_local_weaponsmith The_local_weaponsmith_give_you_a_weapon_for_your_victory.
qstr_You_get_an_item:_{s2 You_get_an_item:_{s2}{s1}.
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{!}{s11}^{s12} {!}{s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_{!}DEBUG___{s1} {!}DEBUG_-_{s1}
qstr_the_arms_merchant the_arms_merchant
qstr_However_{reg3?You_ar However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_denars_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr_{!}{s1} {!}{s1}
qstr_There_has_been_an_al There_has_been_an_alleged_border_incident:_{s9}
qstr_your_wife_{s10}... your_wife,_{s10}...
qstr_a_prominent_citizen_ a_prominent_citizen_from_the_area...
qstr_{!}{s11}{s12} {!}{s11}{s12}
qstr_{!}DEBUG____Hours_si {!}DEBUG_--_Hours_since_last_feast_started:_{reg4}
qstr_^^Note_that_so_long_ ^^Note_that_so_long_as_you_remain_marshal,_the_lords_of_the_realm_will_be_expecting_you_to_lead_them_on_campaign._So,_if_you_are_awaiting_a_feast,_either_for_a_wedding_or_for_other_purposes,_you_may_wish_to_resign_the_marshalship_by_speaking_to_your_liege.
qstr_Breaking_camp... Breaking_camp...
qstr_{!}{s3}_commander_of {!}{s3}_commander_of_party_#{reg4}_which_is_not_his_troop_leaded_party_{reg5}
qstr_{!}DEBUG____Doing_po {!}DEBUG_--_Doing_political_calculations_for_{s9}
qstr_{!}DEBUG___{s4}_faction_chan {!}DEBUG_-_{s4}_faction_changed_in_defection
qstr_{!}{s4} {!}{s4}
qstr_{!}DEBUG___{s4}_is_i {!}DEBUG_-_{s4}_is_in_{s5},_should_be_in_{s6},_disabling_political_cheat_mode
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Party_has_nothing_to Party_has_nothing_to_eat!
qstr_Party_has_food_for_a Party_has_food_for_about_{reg2}_{reg3?days:day}.
qstr_Current_party_morale_ Current_party_morale_is_{reg1}.
qstr_{reg1}_{s1} {reg1}_{s1}
qstr_{reg1}_{s1}_and_{s0} {reg1}_{s1}_and_{s0}
qstr_{reg1}_{s1}_{s0} {reg1}_{s1},_{s0}
qstr_{s0}_{reg2?have:has} {s0}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity.
qstr_Building_of_{s0}_in_ Building_of_{s0}_in_{s4}_has_been_completed.
qstr_{s1}_has_won_the_tou {s1}_has_won_the_tournament_at_{s2}.
qstr_{!}{s1}_is_infested_ {!}{s1}_is_infested_by_bandits_(at_night).
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_(at_night).
qstr_{!}{s1}_is_holding_a {!}{s1}_is_holding_a_tournament.
qstr_You_pay_for_accommod You_pay_for_accommodation.
qstr_Betrothal_to_{s5}_ex Betrothal_to_{s5}_expires
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{!}DEBUG___{s4}_faction_chang {!}DEBUG_-_{s4}_faction_changed_from_slot_troop_change_to_faction
qstr_{s1}_has_switched_fr {s1}_has_switched_from_{s2}_to_{s3}.
qstr_{!}DEBUG_:_{s2}_is_b {!}DEBUG_:_{s2}_is_besieging_by_{s3}
qstr_{!}DEBUG___Checking_ {!}DEBUG_-_Checking_fire_at_{s4}_for_{s5}_-_current_time_{reg3},_last_nearby_fire_{reg4}
qstr_Your Your
qstr_{s1}_s {s1}'s
qstr__{s4}_tactics_skill_ _{s4}_tactics_skill_has_increased_by_1.
qstr__{s4}_speechcraft_sk _{s4}_speechcraft_skill_has_increased_by_1.
qstr__{s4}_leadership_ski _{s4}_leadership_skill_has_increased_by_1.
qstr__{s4}_intelligence_h _{s4}_intelligence_has_increased_by_1.
qstr__{s4}_weapon_master_ _{s4}_weapon_master_skill_has_increased_by_1.
qstr__{s4}_engineer_skill _{s4}_engineer_skill_has_increased_by_1.
qstr_{s1}_have_finished_r {s1}_have_finished_reading_{s2}.{s3}
qstr_You_have_finished_re You_have_finished_reading_{s2}.{s3}
qstr_Book_Read Book_Read
qstr_{s0}_has_escaped. {s0}_has_escaped.
qstr_{s0}_hava_escaped. {s0}_hava_escaped.
qstr_Number_of_prisoners_ Number_of_prisoners_exceeds_prisoner_management_limit._{s0}
qstr_Number_of_companions Number_of_companions_exceeds_companion_limit._{s0}
qstr_{s1}_has_been_elimin {s1}_has_been_eliminated_by_another_party.
qstr_{s3}_has_taken_{reg0 {s3}_has_taken_{reg0}_troops_from_{s4}.
qstr_{s3}_has_given_{reg0 {s3}_has_given_{reg0}_troops_to_{s4}.
qstr_Current_party_vigor_ Current_party_vigor_is_{reg1}.
qstr_Your_party_needs_a_r Your_party_needs_a_rest.
qstr_Your_party_needs_a_g Your_party_needs_a_good_rest!
qstr_Swaybacked_{s1}_has_ Swaybacked_{s1}_has_been_cured_by_wound_treatment_skill_of_your_party.
qstr_Congratulations!_{s2 Congratulations!_{s2}{s1}_has_been_trained_to_{s3}{s1}.
qstr_You_are_near_to_the_ You_are_near_to_the_enemy's_realm,_the_speed_of_your_party_have_been_greatly_reduced!
qstr_Day_s_training_is_co Day's_training_is_complete...
qstr_Total_experience_gai Total_experience_gained_through_training:_{reg0}
qstr_You_got_{reg1}_exper You_got_{reg1}_experience.
qstr_{!}DEBUG____Wanted_b {!}DEBUG_--_Wanted_bandits_spotted_by_{s4}
qstr_You_have_known_the_p You_have_known_the_personality_of_{reg65?her:him}_and_keep_in_mind_it.
qstr_{reg65?my_Lady:my_Lo {reg65?my_Lady:my_Lord}
qstr_{reg65?My_Lady:My_Lo {reg65?My_Lady:My_Lord}
qstr_{reg65?madame:sir} {reg65?madame:sir}
qstr_{reg65?Madame:Sir} {reg65?Madame:Sir}
qstr_{!}DEBUG____Talk_con {!}DEBUG_--_Talk_context:_{reg4}
qstr_{!}DEBUG____Time_sin {!}DEBUG_--_Time_since_last_talk:_{reg4}
qstr__no_fiefs_ (no_fiefs)
qstr__fiefs:_{s0}_ (fiefs:_{s0})
qstr_{!}g_talk_troop_=_{r {!}g_talk_troop_=_{reg0}_,_g_encountered_party_=_{reg1}_,_slot_value_=_{reg2}
qstr_{s0}^{s1} {s0}^{s1}
qstr_It_s_your_money_or_y It's_your_money_or_your_life,_{mate/girlie}._No_sudden_moves_or_we'll_run_you_through.
qstr_Lucky_for_you_you_ca Lucky_for_you,_you_caught_me_in_a_good_mood._Give_us_all_your_coin_and_I_might_just_let_you_live.
qstr_This_a_robbery_eh?_I This_a_robbery,_eh?_I_givin'_you_one_chance_to_hand_over_everythin'_you_got,_or_me_and_my_mates'll_kill_you._Understand?
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_suceeded_in_ we_have_suceeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr_{!}current_town_was_ {!}current_town_was_{reg1},_now_moved_to_{s7}
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause._But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope._But_with_God's_help,_we_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}._There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those._And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr__We_will_of_course_n _We_will_of_course_need_to_wait_until_the_realm_is_no_longer_on_campaign.
qstr_I_am_{s4}_the_ruler_ I_am_{s4},_the_ruler_of_{s6}
qstr_I_am_{s4}_a_vassal_o I_am_{s4},_a_vassal_of_{s6}
qstr_{s9}{reg5?_and_the_l {s9}{reg5?_and_the_lord_of_{s8}.:.
qstr_{s13}_asked_you_to_g {s13}_asked_you_to_gather_{reg3}_heads_of_cattle_and_deliver_them_back_to_him.
qstr_{s9}_asked_you_to_sc {s9}_asked_you_to_scout_{s13},_{s14}_and_{s15},_then_report_back.
qstr_{!}DEBUG_:_result_fo {!}DEBUG_:_result_for_political_is_{reg3}
qstr_you you
qstr_{!}DEBUG_:_result_for {!}DEBUG_:_result_for_new_liege_:_{reg31}
qstr_{!}DEBUG_:_result_for_ {!}DEBUG_:_result_for_old_liege_:_{reg32}
qstr_You_are_challenging_ You_are_challenging_me_to_a_duel?_How_droll!_As_you_wish,_{playername},_it_will_be_good_sport_to_bash_your_head_in.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{s16}_{s17} {s16},_{s17}
qstr_Very_well_I_will_acc Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us,_I_am_not_interested.
qstr_{!}DEBUG_:_Initiativ {!}DEBUG_:_Initiative_{reg4},_helpfulness_{reg5}
qstr_{!}DEBUG____ai_behav {!}DEBUG_--_ai_behavior:_{reg0},_ai_object:_{reg1}
qstr_Our_marshal_{s1} Our_marshal,_{s1}
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{s11}_{s12} {s11},_{s12}
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr_go_on_the_offensive_ go_on_the_offensive_now.
qstr_act_to_defend_our_la act_to_defend_our_lands.
qstr_take_more_time_to_ga take_more_time_to_gather_the_army.
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_{s14}.
qstr_What_do_you_say_to_e What_do_you_say_to_entering_the_service_of_{s9}_as_a_mercenary_captain?_I_have_no_doubt_that_you_would_be_up_to_the_task.
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_village_of_{s15}_and_then_report_back_to_him.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_convert_{reg1}_{s14}_to_{s15}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_taxes_from_{s3}._He_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_at_{s3}.
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_merchant_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_lord_from_{s13},_any_lord,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_him_for_a_week.
qstr_{s9}_asked_you_to_coll {s9}_asked_you_to_collect_the_debt_of_{reg4}_denars_{s3}_owes_to_him._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_vassal_{s16}._You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_him_{reg1}_{s3}_as_prisoners.
qstr_Lend_your_experience Lend_your_experienced_surgeon_{s3}_to_{s1}.
qstr_{!}DEBUG____{reg4}_h {!}DEBUG_--_{reg4}_hours_since_last_feast_for_{s4}
qstr_Then_take_it_with_my Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{man/woman}._I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playerna Forgive_me,_{playername},_but_I_must_insist_you_accept_it._The_money_means_little_to_me,_and_I_owe_you_so_much._Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a_ {playername},_what_a_dear_{man/woman}_you_are,_but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,_and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_{s11}_asked_you_to_r {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}_by_switching_clothes_and_taking_his_place_in_prison.
qstr_{s11}_asked_you_to_re {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}.
